mgr_id,mgr_firstname,mgr_surname,mgr_fullname,mgr_gender,mgr_age
0,Kenzie,Poinsett,Kenzie Poinsett,Prefer not to say,48
1,Gigi,Piekarz,Gigi Piekarz,Female,34
2,Salena,Kaviani,Salena Kaviani,Female,22
3,Darron,Pennamon,Darron Pennamon,Male,22
4,Brenton,Bataineh,Brenton Bataineh,Male,51
5,Kaela,Werley,Kaela Werley,Female,30
6,Tiarra,Hefty,Tiarra Hefty,Female,37
7,Danna,Kandefer,Danna Kandefer,Female,48
8,Ressie,Alseth,Ressie Alseth,Female,51
9,Ayden,Bordieri,Ayden Bordieri,Male,64
10,Rex,Rabaut,Rex Rabaut,Male,58
11,Kylene,Albone,Kylene Albone,Female,64
12,Doshia,Warraich,Doshia Warraich,Female,47
13,Kathy,Neese,Kathy Neese,Female,53
14,Melanie,Peregrina,Melanie Peregrina,Female,63
15,Lucy,Hensell,Lucy Hensell,Male,22
16,Juana,Hnat,Juana Hnat,Female,43
17,Elida,Magarin,Elida Magarin,Female,54
18,Shyheim,Brimfield,Shyheim Brimfield,Male,62
19,Ilda,Kumer,Ilda Kumer,Female,51
20,Birdella,Columber,Birdella Columber,Female,19
21,Kade,Duquette,Kade Duquette,Male,35
22,Bentley,Liboy,Bentley Liboy,Male,55
23,Karley,Maciak,Karley Maciak,Female,30
24,Zaniyah,Pinlac,Zaniyah Pinlac,Female,65
25,Cathleen,Hain,Cathleen Hain,Female,28
26,Rolla,Eickhoff,Rolla Eickhoff,Male,58
27,Cristofer,Ortizmendoza,Cristofer Ortizmendoza,Male,45
28,Suzann,Eckelbarger,Suzann Eckelbarger,Prefer not to say,26
29,Estefany,Brownsword,Estefany Brownsword,Female,51
30,Kayden,Dym,Kayden Dym,Male,30
31,Damion,Belkowski,Damion Belkowski,Male,59
32,Belia,Missett,Belia Missett,Female,56
33,Gasper,Srulowitz,Gasper Srulowitz,Male,64
34,Stevie,Malmberg,Stevie Malmberg,Male,50
35,Shannan,Philius,Shannan Philius,Other,62
36,Judyth,Garciacontrera,Judyth Garciacontrera,Female,55
37,Pascal,Cadillo,Pascal Cadillo,Male,31
38,Hosie,Ostrov,Hosie Ostrov,Male,30
39,Makala,Vilches,Makala Vilches,Female,27
40,Lamarcus,Wuertz,Lamarcus Wuertz,Male,33
41,Octa,Evanko,Octa Evanko,Female,65
42,Nealy,Glassford,Nealy Glassford,Female,60
